dataset_row,prompt_id,source,generator,protocol
250,R10,protocol_3,Specific model not recorded,generation_protocol_3.md
251,R11,protocol_3,Specific model not recorded,generation_protocol_3.md
252,R12,protocol_3,Specific model not recorded,generation_protocol_3.md
253,R13,protocol_3,Specific model not recorded,generation_protocol_3.md
254,R14,protocol_3,Specific model not recorded,generation_protocol_3.md
255,R15,protocol_3,Specific model not recorded,generation_protocol_3.md
256,R16,protocol_3,Specific model not recorded,generation_protocol_3.md
257,R17,protocol_3,Specific model not recorded,generation_protocol_3.md
258,R18,protocol_3,Specific model not recorded,generation_protocol_3.md
259,R19,protocol_3,Specific model not recorded,generation_protocol_3.md
260,R20,protocol_3,Specific model not recorded,generation_protocol_3.md
261,S01,protocol_3,Specific model not recorded,generation_protocol_3.md
262,S02,protocol_3,Specific model not recorded,generation_protocol_3.md
263,S03,protocol_3,Specific model not recorded,generation_protocol_3.md
264,S04,protocol_3,Specific model not recorded,generation_protocol_3.md
265,S05,protocol_3,Specific model not recorded,generation_protocol_3.md
266,S06,protocol_3,Specific model not recorded,generation_protocol_3.md
267,S07,protocol_3,Specific model not recorded,generation_protocol_3.md
268,S08,protocol_3,Specific model not recorded,generation_protocol_3.md
269,S09,protocol_3,Specific model not recorded,generation_protocol_3.md
270,S10,protocol_3,Specific model not recorded,generation_protocol_3.md
271,S11,protocol_3,Specific model not recorded,generation_protocol_3.md
272,S12,protocol_3,Specific model not recorded,generation_protocol_3.md
273,S13,protocol_3,Specific model not recorded,generation_protocol_3.md
274,S14,protocol_3,Specific model not recorded,generation_protocol_3.md
275,S15,protocol_3,Specific model not recorded,generation_protocol_3.md
276,S16,protocol_3,Specific model not recorded,generation_protocol_3.md
277,S17,protocol_3,Specific model not recorded,generation_protocol_3.md
278,S18,protocol_3,Specific model not recorded,generation_protocol_3.md
279,S19,protocol_3,Specific model not recorded,generation_protocol_3.md
280,S20,protocol_3,Specific model not recorded,generation_protocol_3.md
281,T01,protocol_3,Specific model not recorded,generation_protocol_3.md
282,T02,protocol_3,Specific model not recorded,generation_protocol_3.md
283,T03,protocol_3,Specific model not recorded,generation_protocol_3.md
284,T04,protocol_3,Specific model not recorded,generation_protocol_3.md
285,T05,protocol_3,Specific model not recorded,generation_protocol_3.md
286,T06,protocol_3,Specific model not recorded,generation_protocol_3.md
287,T07,protocol_3,Specific model not recorded,generation_protocol_3.md
288,T08,protocol_3,Specific model not recorded,generation_protocol_3.md
289,T09,protocol_3,Specific model not recorded,generation_protocol_3.md
290,T10,protocol_3,Specific model not recorded,generation_protocol_3.md
291,T11,protocol_3,Specific model not recorded,generation_protocol_3.md
292,T12,protocol_3,Specific model not recorded,generation_protocol_3.md
293,T13,protocol_3,Specific model not recorded,generation_protocol_3.md
294,T14,protocol_3,Specific model not recorded,generation_protocol_3.md
295,T15,protocol_3,Specific model not recorded,generation_protocol_3.md
296,T16,protocol_3,Specific model not recorded,generation_protocol_3.md
297,T17,protocol_3,Specific model not recorded,generation_protocol_3.md
298,T18,protocol_3,Specific model not recorded,generation_protocol_3.md
299,T19,protocol_3,Specific model not recorded,generation_protocol_3.md
300,T20,protocol_3,Specific model not recorded,generation_protocol_3.md
301,family_0301,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
302,family_0302,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
303,family_0303,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
304,family_0304,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
305,family_0305,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
306,family_0306,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
307,family_0307,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
308,family_0308,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
309,family_0309,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
310,family_0310,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
311,family_0311,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
312,family_0312,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
313,family_0313,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
314,family_0314,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
315,family_0315,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
316,family_0316,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
317,family_0317,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
318,family_0318,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
319,family_0319,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
320,family_0320,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
321,family_0321,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
322,family_0322,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
323,family_0323,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
324,family_0324,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
325,family_0325,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
326,family_0326,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
327,family_0327,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
328,family_0328,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
329,family_0329,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
330,family_0330,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
331,family_0331,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
332,family_0332,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
333,family_0333,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
334,family_0334,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
335,family_0335,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
336,family_0336,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
337,family_0337,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
338,family_0338,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
339,family_0339,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
340,family_0340,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
341,family_0341,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
342,family_0342,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
343,family_0343,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
344,family_0344,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
345,family_0345,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
346,family_0346,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
347,family_0347,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
348,family_0348,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
349,family_0349,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
350,family_0350,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
351,family_0351,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
352,family_0352,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
353,family_0353,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
354,family_0354,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
355,family_0355,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
356,family_0356,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
357,family_0357,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
358,family_0358,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
359,family_0359,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
360,family_0360,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
361,family_0361,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
362,family_0362,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
363,family_0363,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
364,family_0364,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
365,family_0365,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
366,family_0366,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
367,family_0367,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
368,family_0368,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
369,family_0369,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
370,family_0370,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
371,family_0371,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
372,family_0372,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
373,family_0373,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
374,family_0374,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
375,family_0375,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
376,family_0376,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
377,family_0377,protocol_4,Codex GPT-5.6 Sol Ultra,generation_protocol_4.md
